Subset,Loss,Accuracy,F1-Macro
Train,1.2558132886886597,0.60852747066787,0.6054955485561058
Valid,1.3332816362380981,0.5714285714285714,0.5652934648476865
Train,1.2633904218673706,0.616114338898917,0.6123875142350291
Valid,1.3330073356628418,0.5714285714285714,0.5652934648476865
Train,1.2661333560943604,0.6031179490072203,0.6004055524035765
Valid,1.332646369934082,0.5714285714285714,0.5652934648476865
Train,1.267425799369812,0.6108119923285199,0.606610188978139
Valid,1.3321295976638794,0.5714285714285714,0.5652934648476865
Train,1.2620119094848632,0.6170027639891696,0.6144465050836813
Valid,1.3315950632095337,0.5714285714285714,0.5652934648476865
Train,1.2631009817123413,0.6038512522563176,0.6005506223287109
Valid,1.3308260440826416,0.5714285714285714,0.5653019871164828
Train,1.2658926486968993,0.6072371389891696,0.6027169150874992
Valid,1.3299598693847656,0.5714285714285714,0.5653019871164828
Train,1.2490949869155883,0.6033069156137184,0.5977921691276082
Valid,1.3288899660110474,0.5714285714285714,0.5653019871164828
Train,1.2699312925338746,0.6026920690433213,0.6001209908731306
Valid,1.3277450799942017,0.5752895752895753,0.5688535342535562
Train,1.256467914581299,0.6130372856498194,0.6106011523655838
Valid,1.3264251947402954,0.5752895752895753,0.5688535342535562
Train,1.254423975944519,0.6135463673285199,0.6106888633042533
Valid,1.3249248266220093,0.5752895752895753,0.5688535342535562
Train,1.2515677452087401,0.6150496389891696,0.6131611497484444
Valid,1.323386549949646,0.5752895752895753,0.5688535342535562
Train,1.2368515491485597,0.6196891922382671,0.615635382627849
Valid,1.321692705154419,0.5752895752895753,0.5688535342535562
Train,1.2600246906280517,0.6108951940433214,0.6078432715559433
Valid,1.319883108139038,0.5752895752895753,0.5688535342535562
Train,1.2588537454605102,0.6097120374548737,0.6066080987488732
Valid,1.3178057670593262,0.5791505791505791,0.5724249117455201
Train,1.2473791122436524,0.6104566222924188,0.607025387199972
Valid,1.315564751625061,0.5791505791505791,0.5724978613947409
Train,1.2434566736221313,0.6182691222924188,0.6151853288612552
Valid,1.3131093978881836,0.5791505791505791,0.5724978613947409
Train,1.2374157667160035,0.6150256656137184,0.6122140134551142
Valid,1.3105913400650024,0.583011583011583,0.5770808010574028
Train,1.2369365215301513,0.6221753722924188,0.619555265973723
Valid,1.3077536821365356,0.5868725868725869,0.5803249942269781
Train,1.2367679834365846,0.6148959273465704,0.6131323556780786
Valid,1.3049119710922241,0.583011583011583,0.5759109054908554
Train,1.2144935369491576,0.6204944156137184,0.6187876249730755
Valid,1.3020045757293701,0.583011583011583,0.5759539474204785
Train,1.2198643207550048,0.6169435356498194,0.6111574182257395
Valid,1.2986916303634644,0.5868725868725869,0.580368036156601
Train,1.2098514318466187,0.6394333822202166,0.6372284103089563
Valid,1.2955411672592163,0.5868725868725869,0.580368036156601
Train,1.2173517942428589,0.625750225631769,0.6231111939426619
Valid,1.2926814556121826,0.5791505791505791,0.5722787832792893
Train,1.201322340965271,0.6261521322202166,0.6239309971541803
Valid,1.289803147315979,0.5675675675675675,0.5611374980223806
Train,1.1955444097518921,0.6355271322202166,0.6325056263604794
Valid,1.2866548299789429,0.5714285714285714,0.5653221557367019
Train,1.2044904232025146,0.6204591606498194,0.6151048642963173
Valid,1.283568024635315,0.5752895752895753,0.568832129300749
Train,1.1890578031539918,0.6415641922382671,0.6387498388058372
Valid,1.2801473140716553,0.5714285714285714,0.5651677667720503
Train,1.1923866748809815,0.6284253722924188,0.6261758437223554
